ID	Names	InChIKey
100	(-)-Medicarpin|(-)-medicarpin|(6aR,11aR)-9-methoxy-6a,11a-dihydro-6H-[1]benzofuro[3,2-c]chromen-3-ol|medicarpin	NSRJSISNDPOJOP-BBRMVZONSA-N
10023	(2R,3S)-2-(2,4-difluorophenyl)-3-(5-fluoropyrimidin-4-yl)-1-(1H-1,2,4-triazol-1-yl)butan-2-ol|(R-(R*,S*))-alpha-(2,4-difluorophenyl)-5-fluoro-beta-methyl-alpha-(1H-1,2,4-triazol-1-ylmethyl)-4-pyrimidineethanol|(alphaR,betaS)-alpha-(2,4-difluorophenyl)-5-fluoro-beta-methyl-alpha(1H-1,2,4-triazol-1-ylmethyl)-4-pyrimidineethanol|VCZ|Vfend|voriconazol|voriconazole|voriconazolum	BCEHBSKCWLPMDN-MGPLVRAMSA-N
10036	Wax esters|a wax ester	RFSUNEUAIZKAJO-ARQDHWQXSA-N
10115	(-)-alpha-zingiberene|(-)-zingiberene|(5R)-2-methyl-5-[(2S)-6-methylhept-5-en-2-yl]cyclohexa-1,3-diene|(5R)-5-[(1S)-1,5-dimethyl-4-hexenyl]-2-methyl-1,3-cyclohexadiene|alpha-Zingiberene|alpha-zingiberene	KKOXKGNSUHTUBV-LSDHHAIUSA-N
10213	(3beta)-urs-12-en-3-ol|4,4,6a,6b,8a,11,12,14b-octamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,14,14a,14b-icosahydropicen-3-ol|5alpha-urs-12-en-3beta-ol|alpha-Amyrin|alpha-amyrenol|alpha-amyrin|alpha-amyrine|urs-12-ene-3beta-ol|viminalol	FSLPMRQHCOLESF-SFMCKYFRSA-N
10216	(-)-alpha-cedrene|(1S,2R,5S,7S)-2,6,6,8-tetramethyltricyclo[5.3.1.0(1,5)]undec-8-ene|(3R,3aS,7S,8aS)-3,6,8,8-tetramethyl-2,3,4,7,8,8a-hexahydro-1H-3a,7-methanoazulene|[3R-(3alpha,3abeta,7beta,8aalpha)]-2,3,4,7,8,8a-hexahydro-3,6,8,8-tetramethyl-1H-3a,7-methanoazulene|alpha-cederene|alpha-cedrene|cedr-8-ene|levo-alpha-cedrene	IRAQOCYXUMOFCW-OSFYFWSMSA-N
10221	(1S,6S,7S,8S)-1,3-dimethyl-8-(propan-2-yl)-tricyclo[4.4.0.0(2,7)]dec-3-ene|(1S,6S,7S,8S)-8-isopropyl-1,3-dimethyltricyclo[4.4.0.0(2,7)]dec-3-ene|8-Isopropyl-1,3-dimethyltricyclo(4.4.0.02,7)dec-3-ene|Copaene|alpha-Copaene|alpha-copaene	VLXDPFLIRFYIME-XIQJJJERSA-N
10223	(3'R,6'R)-beta,epsilon-caroten-3'-ol|alpha-Cryptoxanthin|alpha-cryptoxanthin	ORAKUVXRZWMARG-XBBNTEQGSA-N
10278	(2R,4aR,8aR)-1,2,3,4,4a,5,6,8a-octahydro-alpha,alpha,4a,8-tetramethyl-2-naphthalenemethanol|2-[(2R,4aR,8aR)-4a,8-dimethyl-1,2,3,4,4a,5,6,8a-octahydronaphthalen-2-yl]propan-2-ol|alpha-Eudesmol|alpha-eudesmol|eudesm-3-en-11-ol	FCSRUSQUAVXUKK-VNHYZAJKSA-N
10280	(3E,6E)-3,7,11-trimethyldodeca-1,3,6,10-tetraene|(3E,6E)-alpha-farnesene|(E,E)-alpha-farnesene	CXENHBSYCFFKJS-VDQVFBMKSA-N
10329	5,6-dimethyl-1-alpha-D-ribofuranosyl-1H-benzimidazole|N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole|alpha-Ribazole|alpha-ribazole	HLRUKOJSWOKCPP-SYQHCUMBSA-N
10334	1-Methyl-4-(1-methylethyl)-1,3-cyclohexadiene|1-isopropyl-4-methyl-1,3-cyclohexadiene|1-methyl-4-(propan-2-yl)cyclohexa-1,3-diene|Terpilene|alpha-Terpinene|alpha-terpinene|p-Mentha-1,3-diene	YHQGMYUVUMAZJR-UHFFFAOYSA-N
10352	(3beta)-olean-12-en-3-ol|3beta-hydroxyolean-12-ene|amyrin|beta-Amyrenol|beta-Amyrin|beta-amyrin|olean-12-en-3beta-ol	JFSHUTJDVKUMTJ-QHPUVITPSA-N
10357	(-)-(E)-beta-caryophyllene|(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene|(E)-beta-caryophyllene|Caryophyllene|beta-Caryophyllene|caryophyllene|trans-(1R,9S)-4,11,11-trimethyl-8-methylenebicyclo[7.2.0]undec-4-ene|trans-caryophyllene	NPNUFJAVOOONJE-GFUGXAQUSA-N
10362	(3R)-beta,beta-caroten-3-ol|beta-Cryptoxanthin|beta-cryptoxanthin|cryptoxanthin	DMASLKHVQRHNES-FKKUPVFPSA-N
10363	(-)-beta-cubebene|(3aS,3bR,4S,7R,7aR)-7-methyl-3-methylidene-4-(propan-2-yl)octahydro-1H-cyclopenta[1,3]cyclopropa[1,2]benzene|(3aS-(3aalpha,3bbata,4beta,7alpha,7aS*))-octahydro-7-methyl-3-methylene-4-(1-methylethyl)-1Hcyclopenta(1,3)cyclopropa(1,2)benzene|beta-cubebene	FSRZGYRCMPZNJF-KHMAMNHCSA-N
104120	3-Methylenedihydro-2(3H)-furanone|3-methylideneoxolan-2-one|Dihydro-3-methylene-2(3H)-furanone|Tulipalin A|alpha-Methylene butyrolactone|alpha-methylene gamma-butyrolactone|alpha-methylene-gamma-butyrolactone|alpha-methylidene-gamma-butyrolactone|tulipalin A	GSLDEZOOOSBFGP-UHFFFAOYSA-N
10417	(2R,4aR,8aS)-decahydro-8-methylene-alpha,alpha,4a-trimethyl-2-naphthylmethanol|2-[(2R,4aR,8aS)-4a-methyl-8-methylidenedecahydronaphthalen-2-yl]propan-2-ol|beta-Eudesmol|beta-eudesmol|beta-selinenol|eudesm-4(14)-en-11-ol	BOPIMTNSYWYZOC-VNHYZAJKSA-N
10418	(6E)-7,11-dimethyl-3-methylene-1,6,10-dodecatriene|(6E)-7,11-dimethyl-3-methylenedodeca-1,6,10-triene|(E)-7,11-dimethyl-3-methylenedodeca-1,6,10-triene|(E)-beta-farnesene|beta-Farnesene|beta-trans-farnesene|trans-7,11-dimethyl-3-methylene-1,6,10-dodecatriene|trans-beta-farnesene	JSNRRGGBADWTMC-NTCAYCPXSA-N
10432	2-Naftol|2-Naphthol|2-hydroxynaphthalene|2-naftolo|2-naphthalenol|2-naphthol|2-naphtol|Antioxygene BN|Azogen Developer A|C.I. Azoic Coupling Component 1|C.I. Developer 5|Developer A|Developer AMS|Developer BN|Isonaphthol|beta-Naftol|beta-Naphthol|beta-Naphtol|beta-hydroxynaphthalene|beta-naftolo|beta-naphthol|beta-naphthyl alcohol|beta-naphthyl hydroxide|naphthalen-2-ol	JWAZRIHNYRIHIV-UHFFFAOYSA-N
10440	(-)-beta-santalene|(1S,2R,4R)-2-methyl-3-methylidene-2-(4-methylpent-3-en-1-yl)bicyclo[2.2.1]heptane|(1S-exo)-2-methyl-3-methylene-2-(4-methyl-3-pentenyl)bicyclo[2.2.1]heptane|beta-Santalene	PGBNIHXXFQBCPU-ILXRZTDVSA-N
10443	(+)-beta-selinene|(4aR,7R,8aS)-4a-methyl-1-methylidene-7-(prop-1-en-2-yl)decahydronaphthalene|(4aR,7R,8aS)-7-isopropenyl-4a-methyl-1-methylenedecahydronaphthalene|[4aR-(4aalpha,7alpha,8abeta)]-decahydro-4a-methyl-1-methylene-7-(1-methylethenyl)-naphthalene|beta-Selinene|beta-eudesmene|eudesma-4(14),11-diene	YOVSPTNQHMDJAG-QLFBSQMISA-N
10545	Elektron|beta|beta(-)|beta-particle|e|e(-)|e-|electron|negatron	
10576	(1,3R,4S,5S,6R)-pentachlorocyclohexene|(3R,4S,5S,6R)-1,3,4,5,6-pentachlorocyclohexene|(3R,4S,5S,6R)-pentachlorocyclohexene|1,3(R),4(S),5(S),6(R)-PCCH|3(R),4(S),5(S),6(R)-PCCH	MQYAVRUCONBHOR-JSTMLOLSSA-N
10577	1,4-p-Menthadiene|1-Isopropyl-4-methyl-1,4-cyclohexadiene|1-Isopropyl-4-methylcyclohexa-1,4-diene|1-Methyl-4-(1-methylethyl)-1,4-cyclohexadiene|1-methyl-4-(propan-2-yl)cyclohexa-1,4-diene|1-methyl-4-propan-2-ylcyclohexa-1,4-diene|4-Isopropyl-1-methyl-1,4-cyclohexadiene|Crithmene|Moslene|gamma-Terpinene|gamma-terpinene|p-Mentha-1,4-diene	YKFLAYDHMOASIY-UHFFFAOYSA-N
10642	(1r,2r,3r,4r,5r,6r)-cyclohexane-1,2,3,4,5,6-hexol|1,3,5/2,4,6-cyclohexanehexol|Cocositol|Quercinitol|Scyllitol|scyllo-Inositol|scyllo-inositol	CDAISMWEOUEBRE-CDRYSYESSA-N
10702	(1R,2R)-1,2-dihydrobenzene-1,2-diol|(1R,2R)-cyclohexa-3,5-diene-1,2-diol|trans-1,2-Dihydrobenzene-1,2-diol	YDRSQRPHLBEPTP-PHDIDXHHSA-N
