id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd40000	C26:1-dihydrosphingosine	C26:1-dihydrosphingosine	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: C26:1-dihydrosphingosine; N-C26:1-sphinganine; N-hexacosenoylsphinganine		
cpd40001	(3E)-penta-1,3-diene	(3E)-penta-1,3-diene	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: (3E)-penta-1,3-diene; (E)-1,3-pentadiene; (E)-CH2=CHCH=CHCH3; piperylene; trans-1,3-pentadiene; trans-1-Methylbutadiene; trans-Penta-1,3-diene; trans-piperylene		
cpd40002	(2S,3R,4E)-1,3-dihydroxyheptadec-4-en-2-aminium	(2S,3R,4E)-1,3-dihydroxyheptadec-4-en-2-aminium	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: (2S,3R,4E)-1,3-dihydroxyheptadec-4-en-2-aminium; heptadecasphing-4-enine		
cpd40003	Cer(d17:1/24:0)	Cer(d17:1/24:0)	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: Cer(d17:1/24:0); N-[(2S,3R,4E)-1,3-dihydroxyheptadec-4-en-2-yl]tetracosanamide; N-tetracosanoyl-C17-sphing-4-enine; N-tetracosanoyl-heptadecasphing-4-enine; N-tetracosanoylheptadecasphing-4-enine; N-tetracosanoylheptadecasphingosine		
cpd40004	Cer(d17:1/24:1)	Cer(d17:1/24:1)	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: Cer(d17:1/24:1); N-C24:1-C17-sphingosine; N-tetracosenoyl-C17-sphing-4-enine; N-tetracosenoyl-heptadecasphing-4-enine; N-tetracosenoylheptadecasphingosine		
cpd40005	2-acetamido-2-deoxy-1-O-{[({[(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaen-1-yl]oxy}phosphinato)oxy]phosphinato}-alpha-D-galactopyranose	2-acetamido-2-deoxy-1-O-{[({[(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaen-1-yl]oxy}phosphinato)oxy]phosphinato}-alpha-D-galactopyranose	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: 2-acetamido-2-deoxy-1-O-{[({[(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaen-1-yl]oxy}phosphinato)oxy]phosphinato}-alpha-D-galactopyranose; N-acetyl-alpha-D-galactosaminyl-1-diphospho-ditrans,octacis-undecaprenol(2-); N-acetyl-alpha-D-galactosaminyl-di-trans,octa-cis-undecaprenyl diphosphate		
cpd40006	2-OH-C24:1-CoA(4-)	2-OH-C24:1-CoA(4-)	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: 2-OH-C24:1-CoA(4-); 2-OH-tetracosenoyl-CoA(4-); 2-hydroxytetracosenoyl-CoA; 2-hydroxytetracosenoyl-coenzyme A(4-)		
cpd40007	N-(2-OH)-C24:1-sphinganine	N-(2-OH)-C24:1-sphinganine	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: N-(2-OH)-C24:1-sphinganine; N-(2-OH)-tetracosenoylsphinganine; N-(2-hydroxytetracosenoyl)-sphinganine; N-(2-hydroxytetracosenoyl)dihydrosphingosine		
cpd40008	3'-phosphonatoadenosine 5'-{3-[(3R)-3-hydroxy-2,2-dimethyl-4-oxo-4-{[3-({2-[(3-oxotriacontanoyl)sulfanyl]ethyl}amino)-3-oxopropyl]amino}butyl] diphosphate}	3'-phosphonatoadenosine 5'-{3-[(3R)-3-hydroxy-2,2-dimethyl-4-oxo-4-{[3-({2-[(3-oxotriacontanoyl)sulfanyl]ethyl}amino)-3-oxopropyl]amino}butyl] diphosphate}	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: 3'-phosphonatoadenosine 5'-{3-[(3R)-3-hydroxy-2,2-dimethyl-4-oxo-4-{[3-({2-[(3-oxotriacontanoyl)sulfanyl]ethyl}amino)-3-oxopropyl]amino}butyl] diphosphate}; 3-ketomelissoyl-CoA(4-); 3-ketomelissoyl-coenzyme A(4-); 3-ketotriacontanoyl-coenzyme A(4-); 3-oxo-C30:0-CoA(4-); 3-oxo-triacontanoyl-CoA; 3-oxomelissoyl-CoA(4-); 3-oxomelissoyl-coenzyme A(4-); 3-oxotriacontanoyl-coenzyme A(4-)		
cpd40009	(11Z,14Z,17Z,20Z,23Z)-hexacosapentaenoyl-CoA	(11Z,14Z,17Z,20Z,23Z)-hexacosapentaenoyl-CoA	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: (11Z,14Z,17Z,20Z,23Z)-hexacosapentaenoyl-CoA; (11Z,14Z,17Z,20Z,23Z)-hexacosapentaenoyl-coenzyme A(4-); 11cis,14cis,17cis,20cis,23cis-hexacosapentaenoyl-CoA(4-); 3'-phosphonatoadenosine 5'-{3-[(3R)-4-({3-[(2-{[(11Z,14Z,17Z,20Z,23Z)-hexacosa-11,14,17,20,23-pentaenoyl]sulfanyl}ethyl)amino]-3-oxopropyl}amino)-3-hydroxy-2,2-dimethyl-4-oxobutyl] diphosphate}; C26:5(omega-3)-CoA(4-); C26:5(omega-3)-coenzyme A(4-)		
cpd40010	(13Z,16Z,19Z,22Z,25Z)-3-ketooctacosapentaenoyl-CoA(4-)	(13Z,16Z,19Z,22Z,25Z)-3-ketooctacosapentaenoyl-CoA(4-)	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: (13Z,16Z,19Z,22Z,25Z)-3-ketooctacosapentaenoyl-CoA(4-); (13Z,16Z,19Z,22Z,25Z)-3-ketooctacosapentaenoyl-coenzyme A(4-); (13Z,16Z,19Z,22Z,25Z)-3-oxooctacosapentaenoyl-coenzyme A(4-); 13cis,16cis,19cis,22cis,25cis-3-oxooctacosapentaenoyl-CoA(4-); 3'-phosphonatoadenosine 5'-{3-[(3R)-4-({3-[(2-{[(13Z,16Z,19Z,22Z,21Z)-3-oxooctacosa-13,16,19,22,25-pentaenoyl]sulfanyl}ethyl)amino]-3-oxopropyl}amino)-3-hydroxy-2,2-dimethyl-4-oxobutyl] diphosphate}; 3-keto-C28:5(omega-3)-CoA(4-); 3-oxo-(13Z,16Z,19Z,22Z,25Z)-octacosapentaenoyl-CoA; 3-oxo-C28:5(omega-3)-CoA(4-); 3-oxo-C28:5(omega-3)-coenzyme A(4-)		
cpd40011	(13Z,16Z,19Z,22Z,25Z)-octacosapentaenoyl-CoA	(13Z,16Z,19Z,22Z,25Z)-octacosapentaenoyl-CoA	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: (13Z,16Z,19Z,22Z,25Z)-octacosapentaenoyl-CoA; (13Z,16Z,19Z,22Z,25Z)-octacosapentaenoyl-coenzyme A(4-); 13cis,16cis,19cis,22cis,25cis-octacosapentaenoyl-CoA(4-); 3'-phosphonatoadenosine 5'-{3-[(3R)-4-({3-[(2-{[(13Z,16Z,19Z,22Z,21Z)-octacosa-13,16,19,22,25-pentaenoyl]sulfanyl}ethyl)amino]-3-oxopropyl}amino)-3-hydroxy-2,2-dimethyl-4-oxobutyl] diphosphate}; C28:5(omega-3)-CoA(4-)		
cpd40012	1-octadecanoyl-2-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycero-3-phospho-(1D-myo-inositol)	1-octadecanoyl-2-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycero-3-phospho-(1D-myo-inositol)	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: 1-octadecanoyl-2-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycero-3-phospho-(1D-myo-inositol); 1-octadecanoyl-2-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycero-3-phospho-D-myo-inositol; 1-stearoyl-2-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycero-3-phospho-D-myo-inositol(1-); PI(18:0/20:4(5Z,8Z,11Z,14Z,17Z))		
cpd40013	(15Z,18Z,21Z,24Z,27Z)-3-ketotriacontapentaenoyl-CoA(4-)	(15Z,18Z,21Z,24Z,27Z)-3-ketotriacontapentaenoyl-CoA(4-)	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: (15Z,18Z,21Z,24Z,27Z)-3-ketotriacontapentaenoyl-CoA(4-); (15Z,18Z,21Z,24Z,27Z)-3-ketotriacontapentaenoyl-coenzyme A(4-); (15Z,18Z,21Z,24Z,27Z)-3-oxotriacontapentaenoyl-coenzyme A(4-); 3'-phosphonatoadenosine 5'-{3-[(3R)-3-hydroxy-2,2-dimethyl-4-({3-[(2-{[(15Z,18Z,21Z,24Z,27Z)-3-oxotriaconta-15,18,21,24,27-pentaenoyl]sulfanyl}ethyl)amino]-3-oxopropyl}amino)-4-oxobutyl] diphosphate}; 3-keto-C30:5(omega-3)-CoA(4-); 3-oxo-(15Z,18Z,21Z,24Z,27Z)-triacontapentaenoyl-CoA; 3-oxo-(15Z,18Z,21Z,24Z,27Z)-triacontapentaenoyl-CoA(4-); 3-oxo-15cis,18cis,21cis,24cis,27cis-triacontapentaenoyl-CoA(4-); 3-oxo-C30:5(omega-3)-CoA(4-); 3-oxotriacontapentanoyl-CoA(4-) (omega-3)		
cpd40014	(15Z,18Z,21Z,24Z,27Z)-triacontapentaenoyl-CoA	(15Z,18Z,21Z,24Z,27Z)-triacontapentaenoyl-CoA	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: (15Z,18Z,21Z,24Z,27Z)-triacontapentaenoyl-CoA; (15Z,18Z,21Z,24Z,27Z)-triacontapentaenoyl-coenzyme A(4-); (omega-3) triacontapentanoyl-CoA(4-); 15cis,18cis,21cis,24cis,27cis-triacontapentaenoyl-CoA(4-); 3'-phosphonatoadenosine 5'-{3-[(3R)-3-hydroxy-2,2-dimethyl-4-({3-[(2-{[(15Z,18Z,21Z,24Z,27Z)-triaconta-15,18,21,24,27-pentaenoyl]sulfanyl}ethyl)amino]-3-oxopropyl}amino)-4-oxobutyl] diphosphate}; C30:5(omega-3)-CoA(4-)		
cpd40015	(19Z,22Z,25Z,28Z,31Z)-3-ketotetratriacontapentaenoyl-CoA(4-)	(19Z,22Z,25Z,28Z,31Z)-3-ketotetratriacontapentaenoyl-CoA(4-)	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: (19Z,22Z,25Z,28Z,31Z)-3-ketotetratriacontapentaenoyl-CoA(4-); (19Z,22Z,25Z,28Z,31Z)-3-ketotetratriacontapentaenoyl-coenzyme A(4-); (19Z,22Z,25Z,28Z,31Z)-3-oxotetratriacontapentaenoyl-coenzyme A(4-); 3'-phosphonatoadenosine 5'-{3-[(3R)-3-hydroxy-2,2-dimethyl-4-({3-[(2-{[(19Z,22Z,25Z,28Z,31Z)-3-oxotetratriaconta-19,22,25,28,31-pentaenoyl]sulfanyl}ethyl)amino]-3-oxopropyl}amino)-4-oxobutyl] diphosphate}; 3-keto-(19Z,22Z,25Z,28Z,31Z)-tetratriacontapentaenoyl-CoA(4-); 3-oxo-(19Z,22Z,25Z,28Z,31Z)-tetratriacontapentaenoyl-CoA; 3-oxo-(19Z,22Z,25Z,28Z,31Z)-tetratriacontapentaenoyl-CoA(4-); 3-oxo-19cis,22cis,25cis,28cis,31cis-tetratriacontapentaenoyl-CoA(4-); 3-oxo-C34:5(omega-3)-CoA(4-)		
